,source_id,source_name,company_name,ultimate_parent_name,country,lat,lon,ultimate_parent_id,company_id,percent_interest_parent,percent_interest_company,percent_company_datasource,percent_parent_datasource,ultimate_parent_revenue_annual (mil),created_date
4982,3164675,Coral-Graceton Coal Mine,Rosebud Mining,Rosebud Mining,USA,40.508333,-79.163056,100000132142,100000132142,100.0,100.0,{14285},{14285},115,49:34.1
4983,3164676,Corbet South Mine,Robindale Energy Services,Robindale Energy Services,USA,41.123333,-78.688889,100000132138,100000132138,100.0,100.0,{14286},{14286},47500,49:34.1
4984,16412,Cordero Rojo Coal Mine,Navajo Nation,Navajo Nation,USA,44.0396,-105.3828,100001001090,100001001090,100.0,100.0,{14287},{14287},15632,49:34.0
4985,3164678,Coyote Creek Coal Mine,Coyote Creek Mining,Nacco Industries,USA,47.176611,-101.889931,100001010299,100001010302,100.0,100.0,{14288},"{6489,14288}",1000,49:34.1
4986,3164679,Craighead Mine,Heritage Coal & Natural Resources,Heritage Coal & Natural Resources,USA,40.031389,-78.836111,100000131669,100000131669,100.0,100.0,{14289},{14289},16,49:34.1
4987,3164680,Craney Coal Mine,White Stallion Energy,White Stallion Energy,USA,38.645608,-87.005821,100000132357,100000132357,100.0,100.0,{14290},{14290},1890,49:34.1
4988,3164681,Cranks Creek Coal Mine,Nally & Hamilton Enterprises,Nally & Hamilton Enterprises,USA,36.798333,-83.148611,100000131963,100000131963,100.0,100.0,{14291},{14291},10,49:34.1
4989,3164682,Cresson Coal Mine,Rosebud Mining,Rosebud Mining,USA,40.4425,-78.605556,100000132142,100000132142,100.0,100.0,{14292},{14292},115,49:34.1
4990,3164683,Crooked Creek Coal Mine,Rosebud Mining,Rosebud Mining,USA,40.668611,-79.233056,100000132142,100000132142,100.0,100.0,{14293},{14293},115,49:34.1
4991,3164684,Crystal Strip Mine,Last Time Coal,Last Time Coal,USA,40.766389,-76.677778,100000131833,100000131833,100.0,100.0,{14294},{14294},725,49:34.1
4992,16413,Cumberland Coal Mine,Contura Energy,Contura Energy,USA,39.81,-80.17,100000131516,100000131516,100.0,100.0,{14295},{14295},80,49:34.0
4993,3164690,D-11 Panther Coal Mine,Industrial Minerals Group,Industrial Minerals Group,USA,36.940278,-82.992778,100000131704,100000131704,100.0,100.0,{14300},{14300},500,49:34.1
4994,3164691,D-2 Beechfork Coal Mine,Revelation Energy,Revelation Energy,USA,36.983056,-83.398333,100000132126,100000132126,100.0,100.0,{14301},{14301},77,49:34.1
