,country,year,gas,emissions_quantity tonnes
528,ATG,2016,co2e_20yr,0.0
529,ATG,2016,n2o,0.0
530,ATG,2017,ch4,0.0
531,ATG,2017,co2,0.0
532,ATG,2017,co2e_100yr,0.0
533,ATG,2017,co2e_20yr,0.0
534,ATG,2017,n2o,0.0
535,ATG,2018,ch4,0.0
536,ATG,2018,co2,0.0
537,ATG,2018,co2e_100yr,0.0
538,ATG,2018,co2e_20yr,0.0
539,ATG,2018,n2o,0.0
540,ATG,2019,ch4,0.0
541,ATG,2019,co2,0.0
542,ATG,2019,co2e_100yr,0.0
543,ATG,2019,co2e_20yr,0.0
544,ATG,2019,n2o,0.0
545,ATG,2020,ch4,0.0
546,ATG,2020,co2,0.0
547,ATG,2020,co2e_100yr,0.0
548,ATG,2020,co2e_20yr,0.0
549,ATG,2020,n2o,0.0
550,ATG,2021,ch4,0.0
551,ATG,2021,co2,0.0
552,ATG,2021,co2e_100yr,0.0
553,ATG,2021,co2e_20yr,0.0
554,ATG,2021,n2o,0.0
555,ATG,2022,ch4,0.0
556,ATG,2022,co2,0.0
557,ATG,2022,co2e_100yr,0.0
558,ATG,2022,co2e_20yr,0.0
559,ATG,2022,n2o,0.0
560,AUS,2015,ch4,2562919.733704554
561,AUS,2015,co2,0.0
562,AUS,2015,co2e_100yr,71761752.5437275
563,AUS,2015,co2e_20yr,215285257.6311825
564,AUS,2015,n2o,0.0
565,AUS,2016,ch4,2671297.003649463
566,AUS,2016,co2,0.0
567,AUS,2016,co2e_100yr,74796316.10218497
568,AUS,2016,co2e_20yr,224388948.3065549
569,AUS,2016,n2o,0.0
570,AUS,2017,ch4,2718221.508852483
571,AUS,2017,co2,0.0
572,AUS,2017,co2e_100yr,76110202.24786952
573,AUS,2017,co2e_20yr,228330606.74360856
574,AUS,2017,n2o,0.0
575,AUS,2018,ch4,2718221.508852483
576,AUS,2018,co2,0.0
577,AUS,2018,co2e_100yr,76110202.24786952
578,AUS,2018,co2e_20yr,228330606.74360856
579,AUS,2018,n2o,0.0
580,AUS,2019,ch4,2747287.005689863
581,AUS,2019,co2,0.0
582,AUS,2019,co2e_100yr,76924036.15931617
583,AUS,2019,co2e_20yr,230772108.4779485
584,AUS,2019,n2o,0.0
585,AUS,2020,ch4,2790604.6959571554
586,AUS,2020,co2,0.0
587,AUS,2020,co2e_100yr,78136931.48680036
588,AUS,2020,co2e_20yr,234410794.46040103
589,AUS,2020,n2o,0.0
590,AUS,2021,ch4,2804727.088416413
591,AUS,2021,co2,0.0
592,AUS,2021,co2e_100yr,78532358.47565956
593,AUS,2021,co2e_20yr,235597075.42697868
594,AUS,2021,n2o,0.0
595,AUS,2022,ch4,2836878.2380106244
596,AUS,2022,co2,0.0
